item_name,price,cluster,cluster_label
Coco Mademoiselle Eau de Parfum 100ml,5500.0,1,premium
La Vie Est Belle Eau de Parfum 75ml,4100.0,2,mid-range
Libre Eau de Parfum 90ml,4500.0,2,mid-range
Light Blue Eau de Toilette 100ml,3400.0,2,mid-range
212 VIP Men Eau de Toilette 100ml,3200.0,2,mid-range
Eros Eau de Toilette 100ml,3500.0,2,mid-range
Acqua di Gio Eau de Toilette 100ml,3800.0,2,mid-range
Y Eau de Parfum 100ml,4200.0,2,mid-range
Dior Sauvage Eau de Parfum 100ml,4900.0,1,premium
Bleu de Chanel Eau de Parfum 100ml,5200.0,1,premium
fgd,456.0,0,budget
Black Opium Eau de Parfum 90ml,6900.0,1,premium
